epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0938,1.76711,4.03692,3.76114,0.01327,4.56281,0.00333,0.02027,0.00193,0.00063,0,0,0,0,3.00776,5.29001,3.84838,0.01539,0,4e-05,4e-05,0.09604
2,62.5222,1.4903,3.38087,3.49953,0.0112,2.6721,0.01111,0.06757,0.01038,0.00303,0,0,0,0,3.41782,7.86334,3.96558,0.0203,0,8.9109e-05,8.9109e-05,0.0910891
3,87.8469,1.58688,3.01921,3.28173,0.01305,1.97863,0.00556,0.03378,0.00307,0.00088,0,0,0,0,3.75195,5.83526,3.97939,0.02164,0,0.000137228,0.000137228,0.0861372
4,112.148,1.4837,2.97851,3.09351,0.01133,1.82523,0.00778,0.0473,0.00416,0.00156,0,0,0,0,3.68778,6.25994,3.99825,0.02259,0,0.000184357,0.000184357,0.0811844
5,138.916,1.45341,2.78192,3.43447,0.01565,1.84536,0.00667,0.04054,0.00408,0.00182,0.00111,0.00676,0.00056,6e-05,3.44639,6.29259,3.99593,0.02199,0,0.000230496,0.000230496,0.0762305
6,165.337,1.355,2.78274,2.82803,0.00991,1.65232,0.00667,0.04054,0.00476,0.00184,0.00111,0.00676,0.00058,0.00011,3.4613,6.45808,4.06307,0.02312,0,0.000275645,0.000275645,0.0712756
7,191.321,1.38299,2.65193,3.16652,0.0113,1.78491,0.00556,0.03378,0.00415,0.00132,0,0,0,0,3.6712,7.74167,4.08953,0.02516,0,0.000319804,0.000319804,0.0663198
8,219.479,1.40868,2.67225,2.55855,0.01048,1.53289,0.01147,0.06757,0.00755,0.003,0,0,0,0,3.73798,9.63862,4.18089,0.02676,0,0.000362973,0.000362973,0.061363
9,246.942,1.45826,2.65642,2.4562,0.00998,1.43986,0.05645,0.0473,0.03195,0.00833,0,0,0,0,3.49732,8.74803,4.27165,0.02183,0,0.000405152,0.000405152,0.0564052
10,278.068,1.3974,2.71543,2.28081,0.00934,1.15095,0.10169,0.08108,0.06746,0.01959,0.01695,0.01351,0.0087,0.00174,3.15437,7.78603,4.23726,0.0173,0,0.000446341,0.000446341,0.0514463
11,307.116,1.43035,2.53209,2.33471,0.01106,1.25477,0.09868,0.10135,0.07482,0.02823,0.02632,0.02703,0.01368,0.00239,2.84802,6.38119,4.26917,0.0143,0,0.00048654,0.00048654,0.0464865
12,335.82,1.43834,2.53872,2.23652,0.00962,1.34912,0.07541,0.15541,0.06552,0.02652,0.04262,0.08784,0.0273,0.0071,2.4938,5.24149,4.20989,0.01194,0,0.000525749,0.000525749,0.0415257
13,363.148,1.41286,2.59543,2.22567,0.00983,1.34405,0.06944,0.2027,0.0622,0.02754,0.04398,0.12838,0.0357,0.00934,2.37762,4.59609,4.16595,0.01084,0,0.000563968,0.000563968,0.036564
14,393.792,1.3613,2.45991,2.17718,0.01003,1.25113,0.05667,0.20946,0.06769,0.02967,0.0457,0.16892,0.03955,0.01303,2.27122,4.22017,4.04887,0.00971,0,0.000601197,0.000601197,0.0316012
15,424.55,1.35818,2.54174,2.22955,0.00979,1.40894,0.05537,0.22297,0.06457,0.02884,0.04362,0.17568,0.04269,0.01412,2.26725,4.0129,3.99856,0.00975,0,0.000637436,0.000637436,0.0266374
16,458.757,1.28295,2.36317,2.32776,0.01059,1.21996,0.05246,0.22297,0.07099,0.02886,0.03975,0.16892,0.04108,0.01321,2.27561,3.91117,3.95876,0.00999,0,0.000672685,0.000672685,0.0216727
17,488.257,1.33106,2.47468,2.14653,0.01038,1.5161,0.05028,0.24324,0.07817,0.03449,0.0419,0.2027,0.04905,0.01637,2.1483,3.61302,3.8533,0.00876,0,0.000706944,0.000706944,0.0167069
18,521.04,1.30344,2.53821,2.12484,0.00944,1.21086,0.0525,0.27703,0.0834,0.03876,0.04481,0.23649,0.05284,0.01781,2.08039,3.41506,3.72524,0.00825,0,0.000740213,0.000740213,0.0117402
19,553.988,1.32707,2.32685,2.1768,0.00894,1.26648,0.05156,0.29054,0.08123,0.03837,0.04317,0.24324,0.06016,0.02126,2.07219,3.3625,3.55657,0.00802,0,0.000772492,0.000772492,0.00677249
20,583.518,1.36617,2.45005,2.18648,0.01109,1.08704,0.05667,0.34459,0.09595,0.04259,0.04556,0.27703,0.07735,0.02725,2.08975,3.25974,3.32543,0.00845,0,0.000803781,0.000803781,0.00180378
21,613.076,1.29591,2.39663,2.07126,0.0105,1.1673,0.06333,0.38514,0.10833,0.04779,0.05556,0.33784,0.09694,0.03396,2.10871,3.15789,3.22859,0.00856,0,0.000802,0.000802,0.000802
22,643.004,1.38889,2.4509,2.10577,0.0097,1.15522,0.06556,0.39865,0.11827,0.05212,0.05222,0.31757,0.09765,0.03451,2.13769,2.99936,3.13304,0.00858,0,0.0007921,0.0007921,0.0007921
23,674.381,1.29284,2.31351,1.94443,0.0091,1.09338,0.06222,0.37838,0.10669,0.05086,0.04778,0.29054,0.09745,0.03231,2.10135,2.96794,3.07541,0.00821,0,0.0007822,0.0007822,0.0007822
24,703.832,1.35655,2.41149,1.94661,0.00973,0.96731,0.06667,0.40541,0.12167,0.05452,0.13654,0.20946,0.09615,0.03068,2.07145,2.99133,3.01734,0.00783,0,0.0007723,0.0007723,0.0007723
