epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0417,1.62431,3.90743,2.9026,1.44526,0,0.02,0.12162,0.01165,0.00473,0.00222,0.01351,0.0012,0.00018,3.01569,45.8281,3.07407,1.97357,0,4e-05,4e-05,0.09604
2,57.8965,1.3945,3.0247,2.48297,1.30782,0,0.01222,0.07432,0.00743,0.00216,0,0,0,0,3.50634,27.4504,3.2574,4.29736,0,8.9109e-05,8.9109e-05,0.0910891
3,71.7113,1.47894,2.92002,2.25329,1.36654,0,0.00778,0.0473,0.00536,0.00181,0,0,0,0,3.70555,61.6247,3.49516,5.53502,0,0.000137228,0.000137228,0.0861372
4,85.438,1.54535,2.92354,2.10019,1.41551,0,0.01,0.06081,0.0063,0.00146,0,0,0,0,3.36823,76.5748,3.43208,4.2465,0,0.000184357,0.000184357,0.0811844
5,98.2479,1.44826,2.72619,2.25712,1.38825,0,0.01,0.06081,0.00727,0.00238,0,0,0,0,3.12056,46.9245,3.54946,3.27246,0,0.000230496,0.000230496,0.0762305
6,112.563,1.40535,2.76449,1.87759,1.31748,0,0.01778,0.10811,0.01411,0.00491,0,0,0,0,2.72587,44.2354,3.4852,2.4148,0,0.000275645,0.000275645,0.0712756
7,127.463,1.3444,2.65143,2.06327,1.32228,0,0.03,0.18243,0.04012,0.01754,0.00556,0.03378,0.00294,0.00081,2.35465,19.1582,3.44283,1.69462,0,0.000319804,0.000319804,0.0663198
8,141.892,1.45446,2.68986,1.79078,1.35366,0,0.03111,0.18919,0.04848,0.01831,0.01778,0.10811,0.01203,0.00324,2.33295,12.5494,3.51062,1.67785,0,0.000362973,0.000362973,0.061363
9,156.664,1.43711,2.66316,1.72138,1.34082,0,0.03222,0.19595,0.04084,0.01923,0.01,0.06081,0.01051,0.00175,2.21079,25.8907,3.54994,1.6156,0,0.000405152,0.000405152,0.0564052
10,170.698,1.36111,2.68523,1.57758,1.26699,0,0.03778,0.22973,0.05093,0.02281,0.01,0.06081,0.00605,0.00144,2.20989,28.6798,3.49651,1.53963,0,0.000446341,0.000446341,0.0514463
